1. What happened in the Roman Republic in 60 B.C?;Civil War
2. What river did Caesar cross with his army that meant Caesar wanted to control Rome?;The Rubicon
3. What did Caesar say when he plunged his horse into the water?;The die is cast.
4. What calendar did Julius Caesar create?;Julian Calendar
5. What happened to Caesar on March 15th, 44 B.C?;Caesar was murdered
6. Who was Cleopatra?;She was the queen of Egypt.
7. Who was the first Roman Emperor?;Octavian, later named Augustus Caesar
8. How was the Roman Empire different from the Roman Republic?;a. In the Roman Empire, people had to worship the emperor as if he were a god. b. Citizens in the Empire had less rights than in the Republic. c. Citizens in the Empire didn’t vote for their leaders.
9. What was Pax Romana?;This was a period of peace within the Empire, where trade flourished.
10. What were many Romans interested in pursuing?;..a virtuous life
11. Who was Paterfamilias?;The Roman father held all the power.
12. Explain the Roman religion.;Romans believed in many gods. We call this Roman mythology.
13. How many people lived in Rome in the first century A.D?;1 million
14. What was a constant danger in Rome?;Fire
15. Where did wealthy Romans live?;In the countryside, in villas
16. Describe the gladiator fights and the Colosseum?;Slaves were trained to fight and kill and they battled in the Colosseum. More than 50,000 spectators could watch the fights.
17. What did Romans do every day?;They took baths.
