1. What were the three most developed American Indian civilizations in medieval Mesoamerica and South America?;Mayas, Incas, and Aztecs
2. Where did the Mayans exist from c. 1500 B.C. - A.D. 1519?;It extended from central Mexico into northern Central America. Mayas mainly settled in the Yucatan Peninsula.
3. Who used slash and burn agricultural techniques?;Mayas.
4. Where did the Incas establish their empire?;Incas lived in the Andes Mountains.
5. Where are the Andes located?;They are located on the western edge of South America.
6. What is the second highest mountain range in the world?;The Andes are the second highest mountain range in the world.
7. Describe the Andes Mountains.;They are over 20,000 feet, cold, rocky, steep, and have less oxygen than at sea level.
8. What is the world's largest rain forest?;It is the Amazon. It is located west of the Andes.
9. What did Andean farmers grow?;They grew chili peppers, squash, beans, cotton, peanuts, and over 200 varieties of potatoes.
10. Where did the Aztecs establish their empire?;They established it in the Valley of Mexico.
11. What covered the ground when the Aztecs established their empire?;Large, shallow lakes covered the floor of the valley.
